Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Idaho Youth ChalleNGe Academy,117 Timberline Drive,,Pierce,ID,83546,208-464-1253,2ndChance@idyouthchallenge.com,,http://www.idyouthchallenge.com/
Community Council of Idaho Inc. - Administrative Office,317 Happy Day Blvd.,Suite 250,Caldwell,ID,83607,208-453-3100,,,https://communitycouncilofidaho.org/employment-training/
Community Council of Idaho Inc. - CRC: Caldwell,317 Happy Day Blvd.,Suite 180,Caldwell,ID,83607,208-454-8604,,,https://communitycouncilofidaho.org/employment-training/
Volunteers of America - Youth Resource Center,888 South 400 West,,Salt Lake City,UT,84101,801-364-0744,,,https://www.voaut.org/yrc
Volunteers of America - Young Men's Transition Home,556 South 500 East,,Salt Lake City,UT,84102,801-363-9414,info@voaut.org,,https://www.voaut.org/young-mens-transition-home
Volunteers of America - Young Women's Transitional Home,718 South 600 East,,Salt Lake City,UT,84102,801-363-9414,info@voaut.org,,https://www.voaut.org/young-womens-transition-home
Ogden-Weber Applied Technology College,200 N. Washington Boulevard,,Ogden,UT,84404,801-627-8367,,,https://www.otech.edu/future-students/youthbuild/
FreshStart - REAL Transition,560 South 100 West,Suite 13,Provo,UT,84601,801-874-5361,linda@freshstartventures.org,,https://www.freshstartventures.org/real-transition/
"Friendly House, Inc.",113 W Sherman Street,,Phoenix,AZ,85003,602-257-1870,communications@friendlyhouse.org,,https://www.friendlyhouse.org/workforce-development
City of Phoenix,200 West Washington Street,19th Floor,Phoenix,AZ,85003,602-534-9672,,,https://www.gatewaycc.edu/youthbuild
Valley of the Sun YMCA - Youth,3825 N 67th Ave.,,Phoenix,AZ,85003,602-212-6292,kathyjo.mcnamara@vosymca.org,,https://valleyymca.org/get-involved/community-programs/youth/youth-workforce-development/
Arizona Call-A-Teen Youth Resources,649 N 6th Ave,,Phoenix,AZ,85003,602-252-6721 ext.201,socialmedia@azcallateen.k12.az.us,,https://acyraz.org/
Youthbuild Phoenix,649 N 6th Ave,,Phoenix,AZ,85003,602-238-4350,,,https://www.gatewaycc.edu/youthbuild
Hope Rising - Youth Program,830 N 1st Ave,,Phoenix,AZ,85003,602-795-8098,createhope@hopescrossing.org,,https://hopescrossing.org/
Opportunities Industrialization Center,39 E Jackson St,,Phoenix,AZ,85004,602-513-8311,azoic@azoic.org,602-252-3598,http://www.azoic.org
Year Up Arizona,1245 E Buckeye Rd,Room A166,Phoenix,AZ,85034,480-376-0898,,,https://www.yearup.org/about-us/our-locations/arizona/
From Gangs to Jobs,4007 E Apollo Rd,,Phoenix,AZ,85042,602-384-0340,,,
Gila River Indian Community Employment and Training Department,525 W Gu U Ki,,Sacaton,AZ,85147,520-562-3387/88,Lana.Chanda@gric.nsn.us,,http://www.gilariver.org
Genesis Youth Program,124 S. 4th St,,Avondale,AZ,85323,602-372-4248,JohnsonK019@mail.maricopa.gov,,https://www.maricopa.gov/3725/Workforce-Development-Programs
Arizona at Work Maricopa County,8335 W Jefferson Street,,Peoria,AZ,85345,623-979-0474,Dixonk001@mail.maricopa.gov,602-372-1294,https://arizonaatwork.com/locations/maricopa-county
Martin Luther King Youth Career Center,300 S 13th Avenue,,Yuma,AZ,85364,928-783-9347,,,http://youth.ypic.com/
Arizona Conservation Corps - Tucson Office,1443 West Prince Road,,Tucson,AZ,85705,520-884-5550,info@conservationlegacy.org,,https://azcorps.org/
"Tucson Youth Development, Inc",1901 N Stone Ave,,Tucson,AZ,85705,520-623-5843 ext.2019,programs@acehs.org,520-791-9893,http://www.tucsonyouth.org/
COPD Vocational Program,268 W Adams St,,Tucson,AZ,85705,520-445-8484,request@copdaz.org,520-770-8539,http://www.copdaz.org
Goodwill Youth Employment Program,300 N 4th Ave,,Tucson,AZ,85705,520-623-5174 ext.1135,,,https://www.goodwillsouthernaz.org/
Tucson Urban League Employment & Training,2305 S Park Ave,,Tucson,AZ,85713,520-791-9522 ext.2243,,520-623-9364,https://tucsonurbanleague.org/
Portable Practical Educational Preparation,802 E. 46th Street,,Tucson,AZ,85713,520-770-2500,,,https://www.ppep.org/programs/youth/
Pima County Youth Employment Center,320 N Commerce Park Loop,,Tucson,AZ,85745,520-724-9649,,520-622-1266,http://webcms.pima.gov/cms/one.aspx?portalId=169&pageId=4294
Arizona Conservation Corps - Flagstaff Office,2500 N Rose Street,Suite 101,Flagstaff,AZ,86004,928-526-3280,info@conservationlegacy.org,,https://azcorps.org/
YDI - Education Employment & Training,6306 Central Ave SW,,Albuquerque,NM,87105,505-352-3469,education@ydinm.org,,http://www.ydinm.org/youth-one-stop-wia.aspx
YouthWorks,1000 Cordova Pl,#415,Santa Fe,NM,87505,505-989-1855,,,https://www.santafeyouthworks.org/
Santa Fe Community College,6401 Richards Avenue,,Santa Fe,NM,87508,505-428-1276,,,https://www.facebook.com/youthbuildsfcc/
"HELP - NM, Inc.",109 Faulkner,,Socorro,NM,87801,575-835-0067,,575-835-9557,https://helpnm.com/
"HELP - NM, Inc.","400 W. 4th Street, Suite B",PO Box 3005,Truth or Consequences,NM,87901,575-894-0077,,575-894-0069,https://helpnm.com/
"Families & Youth, Inc.",1320 S Solano Drive,,Las Cruces,NM,88001,575-522-4004,info@fyinm.org,575-522-9017,
"HELP - NM, Inc.",410 West Broadway,,Silver City,NM,88061,575-388-9005,,575-538-5072,https://helpnm.com/
New Mexico Youth ChalleNGe Academy,131 E Earl Cummings Loop,,Roswell,NM,88203,575-347-7610,Sabrina.lara@roswell.enmu.edu,,http://www.nmyca.net/
Lincoln County Youth Career Program,P.O. Box 728,,Caliente,NV,89008,775-726-3800,,,https://nvworkforceconnections.org/?fund-partner=lincoln-county-youth-career-program
Salvation Army One Stop Affiliate Site - Mesquite,355 Mesquite Blvd.,,Mesquite,NV,89027,702-345-5116,,,https://nvworkforceconnections.org/?page_id=8134
Nevada Partners Inc.,710 W. Lake Mead Blvd.,,North Las Vegas,NV,89030,702-924-2100 ext.133,,,https://www.nevadapartners.org/positive-youth-impact
Nye Community Coalition,1020 E Wilson Road,,Pahrump,NV,89048,775-727-9970,info@nyecc.org,,https://nyecc.org/workforce-development/
"Youth Advocate Programs, Inc.",701 N Green Valley Pkwy,#216,Henderson,NV,89074,717-232-7580,,,http://www.yapinc.org/
Job Corps - Sierra Nevada,1050 E Flamingo Road,,Las Vegas,NV,89119,702-382-2702,,,https://sierranevada.jobcorps.gov/
Help of Southern Nevada,1640 E. Flamingo Road,Suite 100,Las Vegas,NV,89119,702-369-4357,info@helpsonv.org,,http://www.helpsonv.org/index.php
Fulfillment Fund Las Vegas,3100 E Patrick Ln.,,Las Vegas,NV,89120,702-305-2989,,702-799-2235,www.fulfillmentfundlasvegas.org
Goodwill One Stop Affiliate Site - East,3345 E. Tropicana Ave.,,Las Vegas,NV,89122,702-202-0098,,,https://www.goodwill.vegas/programs/
Olive Crest,4285 North Ranchero Dr,Suite 160,Las Vegas,NV,89130,702-685-3459,,,https://www.olivecrest.org/nevada/
One Stop Career Center Operator - ResCare,6330 W. Charleston Blvd.,Suite 190,Las Vegas,NV,89146,214-802-5889,,,https://www.rescare.com/workforceservices/
The Children's Cabinet,1090 South Rock Blvd.,,Reno,NV,89502,775-348-6762,,,https://www.childrenscabinet.org/family-youth/youth-education-and-training/
Florence-Firestone Employment Resource Center,7807 Compton Ave,,Los Angeles,CA,90001,323-583-9655,,,https://www.ayela.org/youth-services/
Youth Opportunity Movement Watts; South Los Angeles,1503 East 103rd Street,,Los Angeles,CA,90002,323-971-7640,,,
Coalition for Responsible Community Development,3101 S. Grand Ave.,,Los Angeles,CA,90007,213-743-6193,,,http://www.coalitionrcd.org/what-we-offer/youth/
Women In Non - Traditional Employment Roles,3655 S. Grand Avenue,Suite 210,Los Angeles,CA,90007,213-749-3970,,,https://www.winterwomen.org/youthbuild/
Los Angeles County Office of Education,3055 Wilshire Blvd,Suite 1100,Los Angeles,CA,90010,213-637-3106,,,https://www.lacoe.edu/
Archdiocese Youth Employment (AYE) Services,3250 Wilshire Boulevard,Suite 1010,Los Angeles,CA,90010,213-736-5456,,213-736-5654,https://www.ayela.org/youth-services/
The Community College Foundation,3530 Wilshire Blvd,Suite 610,Los Angeles,CA,90010,213-323-6910,,,https://www.communitycollege.org/
Volunteers of America of Los Angeles,3600 Wilshire Boulevard Suite 1500,,Los Angeles,CA,90010,213-389-1500,info@voala.org,,https://voala.org/services/youth/
LeadersUp,830 Traction Avenue,3A,Los Angeles,CA,90013,206-956-4000,info@leadersup.org,,https://leadersup.org/about/
Los Angeles Conservation Corps,605 W Olympic Blvd,Suite 450,Los Angeles,CA,90015,213-362-9000 ext.206,,,https://www.lacorps.org/
UCLA CBL YouthSource Center,501 South Bixel Street,,Los Angeles,CA,90017,213-482-8618,,,https://www.teaching.ucla.edu/cbl
Bridges From School to Work - Los Angeles,600 Wilshire Blvd.,Suite 1540,Los Angeles,CA,90017,213-347-0042,therese.lyons@marriott.com,,http://www.bridgestowork.org/locations/los-angeles/
Door of Hope,1414 South Atlantic Blvd.,,Los Angeles,CA,90022,323-262-2777,,,https://www.doorofhope.us/
"Los Angeles Communities Advocating for Unity, Social Justice (LACAUSA)",5400 E. Olympic Blvd.,Suite 100,Los Angeles,CA,90022,323-887-2500,,,https://www.lacausainc.org/services
Maravilla Foundation,5729 Union Pacific Avenue,,Commerce,CA,90022,323-869-4541,,,http://www.maravilla.org/
Mexican American Opportunities Foundation,972 South Goodrich Blvd.,,Commerce,CA,90022,323-890-1555,,,http://www.maof.org/
Youth Policy Institute - YouthBuild,6464 Sunset Blvd,Suite. 650,Los Angeles,CA,90028,213-688-2802,,,https://www.ypi.org/program/youthsource/
Goodwill Industries,342 San Fernando Road,,Los Angeles,CA,90031,323-539-2184,,,https://www.goodwillsocal.org/
Para Los Ninos - East Los Angeles,4927 Huntington Drive North,,Los Angeles,CA,90032,213-623-8446,,,https://www.paralosninos.org/
Youth Opportunity Movement Boyle Heights - East Los Angeles,1600 East 4th Street,,Los Angeles,CA,90033,323-526-0143,,,https://bhtechyouthcenter.wixsite.com/bhtyc
UCLA CBL YouthSource Center,3415 South Sepulveda Blvd,Suite 130,Los Angeles,CA,90034,310-572-7680,,,https://www.teaching.ucla.edu/cbl
Archdiocese Youth Employment Services - South Los Angeles,3965 South Vermont Avenue,,Los Angeles,CA,90037,213-736-5456,,,https://www.ayela.org/youth-services/
Foundation for Second Chances,3734 West Slauson Ave,,Los Angeles,CA,90043,213-627-1745,info@ffscinc.org,,https://www.ffscinc.org/
AADAP,5318 South Crenshaw Blvd,,Los Angeles,CA,90043,323-293-6284,,,
Los Angeles Brotherhood Crusade; South Los Angeles,5414 South Crenshaw Blvd,,Los Angeles,CA,90043,818-771-0184,,,https://brotherhoodcrusade.org/
"The Children’s Collective, Inc.",8021 South Vermont Avenue,Suite 2,Los Angeles,CA,90044,323-733-4388,,,http://www.childrenscollective.org/
Jewish Vocational Services,6505 Wilshire Blvd,,Los Angeles,CA,90048,323-761-8888,,,https://www.jvs.org/
"Watts Labor Community Action Center, South Los Angeles",10950 South Central Avenue,,Los Angeles,CA,90059,323-563-5639,,,http://www.wlcac.org/
Youth Opportunity Movement Watts,958 East 108th Street,,Los Angeles,CA,90059,323-923-1434,,,https://www.rcoe.us/student-program-services/
Communities in Schools,1601B West Rosecrans Avenue,,Compton,CA,90220,310-637-7422,,,https://www.communitiesinschools.org/
"EntreNous Youth Empowerment Services, Inc.",477 S. Compton Blvd,,Compton,CA,90221,310-631-2000,,,https://www.entrenousyouth.org/
City of Compton,700 North Bullis Road,,Compton,CA,90221,310-605-3064,,,http://www.comptoncity.org/
Centinela Youth Services (CYS),11539 Hawthorne Blvd.,Suite 500,Hawthorne,CA,90250,310-970-7702,,,https://www.cys-la.org/
HUB Cities,2677 Zoe Avenue,,Huntington Park,CA,90255,323-586-4716,,,http://www.hubcities.org/
Venice Community Housing Corporation,720 Rose Avenue,,Venice,CA,90291,310-573-8403,,,www.vchcorp.org/
South Bay One-Stop Business and Career Centers-Inglewood,110 South La Brea Avenue,,Inglewood,CA,90301,310-680-3700,,,https://www.southbay1stop.org/inglewood-1-stop
Innovative Educational Systems,2301 West Imperial Highway,,Inglewood,CA,90303,323-820-9314,,,
Special Services for Groups,19401 South Vermont Avenue,Suite A-200,Torrance,CA,90502,310-323-6887,,,http://www.ssg.org/
Southeast Area Social Services Funding Authority (SASSFA),9825 Painter Avenue,,Whittier,CA,90605,562-777-7039,,,http://www.sassfa.org/
City of Buena Park - Parks & Recreation,6550 Beach Blvd.,,Buena Park,CA,90622,714-562-3844,,,http://www.buenapark.com/city-departments/community-services
North Orange County Youth Center,1807 W. La Habra Blvd. ,,La Habra,CA,90631,562-905-7076,,,http://www.lhcm.org/464/OC-Youth-Center
Rosie's Garage,348 Grace St,PO Box 2125,La Habra,CA,90631,714-626-0655,,,https://rosiesgarage.org/
La Habra Child Development Center,401 E. Euclid Blvd.,,La Habra,CA,90631,562-905-9630,,,http://www.lhcm.org/322/Child-Development
Norwalk-La Mirada USD,15711 Alondra Blvd,,Norwalk,CA,90650,562-863-1244,,,https://www.nlmusd.org/
UAW-Labor Employment and Training,11010 Artesia Blvd,,Cerritos,CA,90703,323-730-7900,,,http://www.letc.com/
ABC Unified School District,16700 Norwalk Blvd.,,Cerritos,CA,90703,562-926-5566 ext.21197,,,https://www.abcusd.us/apps/pages/index.jsp?uREC_ID=1180765&type=d&pREC_ID=1417059
Bellflower Unified School District,16703 Clark Avenue,,Bellflower,CA,90706,562-866-9011 ext.3354,,,https://www.busd.k12.ca.us/
Sunburst Youth Academy,4022 Saratoga Ave,,Los Alamitos,CA,90720,877-463-1921,admissions@sunburstyouthacademy.com,,https://sunburstyouthacademy.com/
Los Angeles Harbor College; Harbor,1111 Figueroa Place,,Wilmington,CA,90744,310-233-4041,,,http://www.lahc.edu/
"ACCORD-Community First, Inc.",400 Oceangate,Suite 510,Long Beach,CA,90802,562-684-0910,,,http://accordnow.org/
California Families In Focus,1017 Obispo Ave,,Long Beach,CA,90804,562-900-8686,,,http://cffocus.blogspot.com/
"Centro CHA, Inc",1900 Atlantic Avenue,,Long Beach,CA,90806,562-570-4722,,,https://www.centrocha.org/
Goodwill Serving the People of Southern Los Angeles County,800 West Pacific Coast Hwy,,Long Beach,CA,90806,562-435-3411,,,https://www.thinkgood.org/
Long Beach Community Action Partnership,3012 Long Beach Blvd,,Long Beach,CA,90807,562-216-4600,,,https://www.lbcap.org/
Conservation Corps of Long Beach,3656 Atlantic Avenue,,Long Beach,CA,90807,562-216-1790,,,http://www.cclb-corps.org/
Job Corps - Long Beach Office,1903 Santa Fe Ave,,Long Beach,CA,90810,562-983-1777,,,https://longbeach.jobcorps.gov/
Foothill WIB,1207 East Green Street,,Pasadena,CA,91106,626-584-8394,,,https://www.fwdbworks.org/
Glendale Youth Alliance,1255 South Central Avenue,,Glendale,CA,91204,818-548-3316,,,https://www.glendaleca.gov/government/city-departments/community-services-parks/youth-employment-services-gya-
"El Proyecto Del Barrio, South Valley",20800 Sherman Way,,Winnetka,CA,91306,818-710-5239,,,http://www.elproyecto.us/youthsource-program/
PathPoint,9410 Topanga Canyon Blvd.,Suite 103,Chatsworth,CA,91311,818-773-9570,,,https://www.pathpoint.org/
Youth Policy Institute - North Valley,11884 Glenoaks Blvd.,,San Fernando,CA,91340,818-361-7108,contact@ypiusa.org,,https://www.ypi.org/program/youthsource/
William S. Hart,21515 Centre Pointe Parkway,,Santa Clarita,CA,91350,661-259-0033,,,https://www.hartdistrict.org/
"El Proyecto Del Barrio, North Valley",9030 Laurel Canyon Blvd,,Sun Valley,CA,91352,818-771-0184,,,http://www.elproyecto.us/youthsource-program/
PathPoint,501 Marin Street,,Thousand Oaks,CA,91360,805-413-0790,info@pathpoint.org,,https://www.pathpoint.org/
South Valley Youth Program,14565 Lanark St,,Panorama City,CA,91402,818-782-2520,,,https://www.goodwillsocal.org/edwin/
Operation New Hope,9330 Baseline Road,,Rancho Cucamonga,CA,91701,909-446-4049,,,http://onhcares.org/
Chino Valley USD,13400 Pipeline Avenue,,Chino,CA,91710,909-628-1201,,,https://www.chino.k12.ca.us/
Career Institute,10722 Arrow Route,Suite 808,Rancho Cucamonga,CA,91730,909-481-0270,,,https://www.cinow.org/
Career Partners/El Monte,10501 East Valley Blvd,Suite 1880,El Monte,CA,91731,626-258-0365,,,https://www.cpiworld.com/
Career Partners/Rosemead,3505 North Hart Avenue,,Rosemead,CA,91770,626-572-7272,,,https://www.cpiworld.com/
Eckerd Connects Paxen Workforce Development,1315 Delauney Avenue,Unit 103,Columbus,GA,91901,706-936-3547,,,https://eckerd.org/workforce-development/paxen/
Turning the Hearts,345 5th Avenue,,Chula Vista,CA,91910,618-691-9643,,,http://www.turningthehearts.com/
South Bay Community Services,1124 Bay Blvd,Suite D,Chula Vista,CA,91911,619-420-3620,,,https://southbaycommunityservices.org/
Grossmont Union High School District,924 East Main Street,,El Cajon,CA,92021,619-590-3900,,,https://www.guhsd.net/
Escondido Education Compact,2247 East Valley Parkway,,Escondido,CA,92027,760-839-4515,,,https://www.educationcompact.org/
North County Interfaith Council,2195 Oceanside,,Oceanside,CA,92054,760-721-2117,,,https://www.interfaithservices.org/
"San Diego County Office of Education, Juvenile Court and Community Schools",210 West Ash Street,,San Diego,CA,92101,619-233-2814,,,https://www.sdcoe.net/jccs/Pages/default.aspx
"Able-Disabled Advocacy, Inc.",2850 Sixth Avenue,Suite 311,San Diego,CA,92103,619-231-5990,media@able2work.org,,https://www.able2work.org/
"Able-Disabled Advocacy, Inc.",4283 El Cajon Blvd.,Suite 110,San Diego,CA,92105,619-231-5990,media@able2work.org,,https://www.able2work.org/
"Access, Inc. (Metro Region)",2612 Daniel Avenue,,San Diego,CA,92111,858-560-0871,,,https://www.access2jobs.org/youth
Coalition of Neighborhood Councils,415 North Euclid Avenue,,San Diego,CA,92114,619-325-3580,,,
San Diego Second Chance,6145 Imperial Avenue,,San Diego,CA,92114,619-234-8888,,,https://www.secondchanceprogram.org/
Heartland Coalition,5280 Orange Ave.,,San Diego,CA,92115,619-631-4333,markhanson@heartlandcln.org,,https://www.heartlandcln.org/youthbuild-program/
Arbor E&T LLC dba ResCare Workforce Services - Indio Youth Opportunity Center,45-570 Grace Street,Suite 1,Indio,CA,92201,760-775-2887,,,https://www.rescare.com/workforceservices/
"ARBOR E&T, LLC.",1560 Ocotillo Avenue,,El Centro,CA,92243,760-353-4544,,,
Imperial Valley Regional Occupation Program,687 State Street,,El Centro,CA,92243,760-482-4800,,,http://www.ivrop.org/
Family Service Association,11744 Bartlett Avenue,,Adelanto,CA,92301,951-686-1096,,,https://www.fsaca.org/
Apple Valley USD,11837 Navajo Road,,Apple Valley,CA,92308,760-247-7206,,,https://www.avusd.org/
Career Institute,2700 Barstow Road,,Barstow,CA,92311,760-577-8269,,,https://www.cinow.org
Career Institute,572 Knickerbocker,,Big Bear Lake,CA,92315,909-866-2624,,,https://www.cinow.org
Career Institute,310 S. State Hwy 173,,Lake Arrowhead,CA,92321,909-744-8083,,,https://www.cinow.org
"First Institute Training & Management, Inc.",14755 Foothill Blvd,Suite M,Fontana,CA,92335,909-829-1643,,,http://www.fitmnow.com/
Hesperia Unified School District,1663 Lemon Street,,Hesperia,CA,92345,760-948-3999,,,https://www.hesperiausd.org/
Mental Health Systems,300 H Street,,Needles,CA,92363,760-326-4590,,,https://www.mhsinc.org/
"Colton, Redlands, Yucaipa Regional Occupational Program",1214 Indiana Court,,Redlands,CA,92374,909-793-3115 ext.504,,,https://cryrop.org/
Gang Reduction Intervention Team,649 East Foothill Blvd,Suite D,Rialto,CA,92376,909-793-7745,,,http://www.grityouthservices.com/www.grityouthservices.com/G.R.I.T..html
Mojave River Academy,16519 Victor Street,,Victorville,CA,92395,760-605-2201,,,http://www.mojaveriver.net/
Goodwill Industries Southern California - Victorville Youth Program,16934 Bear Valley Road,,Victorville,CA,92395,760-780-4970,,,https://www.goodwillsocal.org/edwin/
ASA Learning Center,2050 East Pacific Street,,San Bernardino,CA,92404,909-388-2551,,,
Career Institute,1200 N E  Street,,San Bernardino,CA,92405,909-388-6003,,,https://www.cinow.org
Provisional Educational Service Center,2450 Blake Street,,San Bernardino,CA,92407,909-887-7002,,,https://www.palcenter.org/center
Riverside County Office of Education - Alternative Education,3939 Thirteenth Street,,Riverside,CA,92502,951-826-6790,,,https://www.rcoe.us/student-program-services/
Young Mens Christian Association YMCA,7223 - 7211 Magnolia Avenue,,Riverside,CA,92504,951-276-0009,,,https://www.ymcarc.org/
California Family Life Center Rubidoux,5656 Mission Blvd,,Riverside,CA,92509,951-683-9622,,,https://www.cflckids.org/job-training-education
California Family Life Center Lake Elsinore,400 West Graham,,Lake Elsinore,CA,92530,951-471-8415,,,https://www.cflckids.org/job-training-education
California Family Life Center Hemet,930 North State Street,,Hemet,CA,92543,951-765-0917,,,https://www.cflckids.org/job-training-education
"Arbor E&T, LLC d/b/a ResCare Workforce Services-Moreno Valley Youth Opportunity Center",22635 Alesandro Blvd,Suite C,Moreno Valley,CA,92553,951-653-1311,,,http://rivcoworkforce.com/Youth.aspx
"Arbor E&T, LLC d/b/a ResCare Workforce Services-Perris Youth Opportunity Center",351 Wilkerson Avenue,Suite F,Perris,CA,92570,951-657-7105,,,http://rivcoworkforce.com/Youth.aspx
Orange County Conservation Corps,125 Technology Drive,Suite 200,Irvine,CA,92604,714-956-6222 ext. 201,,,http://www.hireyouth.org/
Irvine Youth Employment Services (YES),14351 Yale Avenue,,Irvine,CA,92604,714-724-6641,,,https://www.cityofirvine.org/youth-employment-resources
Irvine Unified School District,311 West Yale Loop,,Irvine,CA,92604,949-936-5040,,,https://iusd.org/
Irvine Unified School District,5050 Barranca Pkwy,,Irvine,CA,92604,949-936-5000,,,https://iusd.org/
Orange County Sheriff's Dept. - Correctional Programs,13502 Musick Rd.,,Irvine,CA,92618,949-855-2614,,,https://www.ocsd.org/divisions/custody/theo/community
Youth Employment Services,114 East 19th Street,,Costa Mesa,CA,92627,949-642-0474,info@yesworks.org,,https://yesworks.org/
Orange County Department of Education - ACCESS,P.O. Box 9050,,Costa Mesa,CA,92628,714-966-4485,,,https://ocde.us/ACCESS/Pages/default.aspx
Las Palmas Elementary School/CUSD,1101 Calle Puente,,San Clemente,CA,92672,949-234-5333,,,https://lpes-capousd-ca.schoolloop.com/
Capistrano Unified School District - CLASS,31576 El Camino Real,,San Juan Capistrano,CA,92675,949-234-9200,,,https://transition-capousd-ca.schoolloop.com/pf4/cms2/view_page?d=x&group_id=1520065622799&vdid=i9g1t16tt7
Capistrano Unified School District - Career Readiness,33122 Valle Rd.,,San Juan Capistrano,CA,92675,949-234-9464,,,https://cca-capousd-ca.schoolloop.com/
Irvine Unified School District,33161 Camino Capistrano,Suite D,San Juan Capistrano,CA,92675,949-936-5040,,,https://iusd.org/
Orange County Conservation Corps,33161 Camino Capistrano,Suite D,San Juan Capistrano,CA,92675,714-956-6222 ext. 201,,,http://www.hireyouth.org/
Saddleback Valley Unified School District - We Care Program,25121 Pradera Drive,,Mission Viejo,CA,92691,949-586-1234,,,https://www.svusd.org/
Irvine Unified School District,25121 Pradera Drive,,Mission Viejo,CA,92691,949-936-5040,,,https://iusd.org/
Santa Ana Work Center,1000 East Santa Ana Blvd,Suite 200,Santa Ana,CA,92701,714-565-2600,,,https://www.santa-ana.org/work-center/youth-employment-services
Orange County Child Support Services,1055 N. Main St.,,Santa Ana,CA,92701,714-347-8118,,,www.css.ocgov.com
Boys Town of California,2223 Wellington,Suite 350,Santa Ana,CA,92701,714-795-5800,,,https://jobs.boystown.org/
Santa Ana Library,26 Civic Center Plaza,,Santa Ana,CA,92701,714-647-5250,,,https://www.santa-ana.org/library
Taller-San Jose,801 N. Broadway,,Santa Ana,CA,92701,714-543-5105,,,http://tsjhopebuilders.org/
KidWorks Community Development,1902 West Chestnut Avenue,,Santa Ana,CA,92703,714-834-9400,,,https://kidworksoc.org/
Orangewood Children's Foundation - Rising Tide,1575 E. 17th St,,Santa Ana,CA,92705,714-619-0200,,,https://www.orangewood4you.org/rising-tide-communities/
Orange County Childrens Therapeutic Arts Center,2215 North Broadway,,Santa Ana,CA,92706,714-547-5468,,,https://www.occtac.org/
Vital Link of Orange County,,,Tustin,CA,92780,949-646-2520,,,http://www.vitallinkoc.org/
Orange County Conservation Corps.,1853 N Raymond Ave,,Anaheim,CA,92801,714-956-6222,,,http://www.hireyouth.org/
North Orange County Regional Occupational Program,385 North Muller Street,,Anaheim,CA,92801,714-502-5848,,,https://www.nocrop.org/
Western Youth Services - Mobile Family Resources,505 N. Euclid Blvd,Suite 300 ,Anaheim,CA,92801,714-871-5645,info@westernyouthservices.org,,http://www.westernyouthservices.org/
Boys and Girls Club of Brea,502 S. Sivers Avenue,,Brea,CA,92821,714-990-0215,,,http://everykid.org/
Orange County Conservation Corps,1548 East Walnut Avenue,,Fullerton,CA,92831,714-956-6222 ext. 201,,,http://www.hireyouth.org/
Fullerton Joint Union High School District,1051 W. Bastanchury Rd.,,Fullerton,CA,92833,714-870-2800,,,https://www.fjuhsd.org/
City of Garden Grove - Community Services,P.O. Box 3070,,Garden Grove,CA,92842,714-741-5200,,,https://ggcity.org/community-services
Orange County Asian and Pacific Islander Community Alliance (OCAPICA),12900 Garden Grove Blvd,Suite 225,Garden Grove,CA,92843,714-636-9095,,,https://www.ocapica.org/
Ventura Adult & Continuing Education,5200 Valentine Road,,Ventura,CA,93003,805-289-7925,,,http://www.tdctraining.com/
Boys and Girls Club of Greater Oxnard and Port Hueneme,126 East Seventh Street,,Oxnard,CA,93030,805-483-1118,,,https://bgcop.org/
PathPoint,1463 East Los Angeles Avenue,,Simi Valley,CA,93065,805-520-8744,,,https://www.pathpoint.org/
PathPoint,902 Laguna Street,,Santa Barbara,CA,93101,805-961-9200,,,https://www.pathpoint.org/
Cal State University-Bakersfield,9001 Stockdale Highway,,Bakersfield,CA,93111,661-665-6779,,,https://www.csub.edu/
Community Action Commission,5638 Hollister Avenue,Suite 230,Goleta,CA,93117,805-964-8858,,,https://cacsb.org/
West Hills Community College,311 Coalinga Plaza,,Coalinga,CA,93210,559-935-7880,,,https://www.westhillscollege.com/
Delano Joint Union High School District,1747 Princeton Street,,Delano,CA,93215,661-720-4125,,,https://www.djuhsd.org/
Kings County Office of Education,1144 West Lacey Blvd,,Hanford,CA,93230,559-589-7026,,,https://www.kingscoe.org/
West Side Consortium,701 7th Street,,Taft,CA,93268,661-763-2300,,,http://taft.k12.ca.us/ROP/west%20side.html
"Proteus, Inc.",1830 North Dinuba Blvd,,Visalia,CA,93291,559-738-1137,,,http://www.proteusinc.org/
Community Services and Employment Training (CSET),312 North West 3rd Avenue,,Visalia,CA,93291,559-732-4194,,,https://www.cset.org/
Tulare County Office of Education/SEE Youth Program,626 North Akers,,Visalia,CA,93291,559-733-6730,,,http://www.tcoe.org/see/
Kern County Superintendent of Schools,318 East 18th Street,,Bakersfield,CA,93305,661-852-5715,,,https://kern.org/cte/
Housing Authority of the County of Kern,1102 South Robinson Avenue,,Bakersfield,CA,93307,661-335-0528 ext.27,,,https://www.kernha.org/
PathPoint,4701 Stockdale Highway,,Bakersfield,CA,93309,661-617-6170,info@pathpoint.org,,https://www.pathpoint.org/
Eckerd Workforce Development - San Luis Obispo,3220 Higuera Street,Suite 231,San Luis Obispo,CA,93401,805-835-9319,,,https://eckerd.org/workforce-development/programs/eckerd-org-slo/
PathPoint,11491 Los Osos Valley Road,,San Luis Obispo,CA,93405,805-782-8890,info@pathpoint.org,,https://www.pathpoint.org/
Grizzly Youth Academy,721 Mendocino Avenue,,San Luis Obispo,CA,93405,800-926-0643,gyaadmissions@gmail.com,,https://www.grizzlyyouthacademy.org/
